N,P,K,temperature,humidity,ph,rainfall,label
82.0,40.0,40.0,23.83067496,84.81360127,6.271478837999999,298.5601175,0.0
91.0,35.0,38.0,24.8972823,80.52586088,6.13428721,183.6793207,0.0
76.0,49.0,42.0,24.958779,84.47963372,5.206373153,196.95600080000003,0.0
79.0,43.0,39.0,21.66628296,80.70960551,7.062779015,210.8142087,0.0
88.0,55.0,45.0,24.63544858,80.41363018,7.730367824,253.7202781,0.0
60.0,36.0,43.0,23.43121862,83.06310136,5.286203711000001,219.9048349,0.0
95.0,52.0,36.0,26.22916897,83.83625819,5.543360237999999,286.5083725,0.0
75.0,38.0,39.0,23.44676801,84.79352417,6.215109715,283.9338466,0.0
74.0,54.0,38.0,25.65553461,83.47021081,7.120272972,217.3788583,0.0
91.0,36.0,45.0,24.44345477,82.45432595,5.950647577000001,267.97619480000003,0.0
71.0,46.0,40.0,20.2801937,82.1235421,7.236705436,191.9535738,0.0
72.0,40.0,38.0,20.41447029,82.20802629,7.592490617,245.1511304,0.0
83.0,58.0,45.0,25.75528612,83.51827127,5.875345751,245.6626799,0.0
93.0,58.0,38.0,20.61521424,83.77345559,6.932400225,279.5451717,0.0
99.0,54.0,37.0,21.14347496,80.33502926,5.5948196260000005,198.6730942,0.0
86.0,59.0,35.0,25.78720567,82.11124033,6.946636369,243.5120414,0.0
69.0,46.0,41.0,23.64124821,80.28597873,5.012139669,263.1103304,0.0
91.0,56.0,37.0,23.43191632,80.56887849,6.363472207999999,269.5039162,0.0
61.0,52.0,41.0,24.97669518,83.891805,6.880431223,204.8001847,0.0
79.0,42.0,37.0,24.87300744,82.84022551,6.587918707999999,295.6094492000001,0.0
78.0,43.0,42.0,21.32376327,83.00320459,7.283736617000001,192.3197536,0.0
97.0,36.0,45.0,22.2286982,81.85872947,6.939083505,278.0791793,0.0
67.0,47.0,44.0,26.73072391,81.78596776,7.868474653,280.4044392,0.0
73.0,35.0,38.0,24.88921174,81.97927117,5.005306977,185.9461429,0.0
77.0,36.0,37.0,26.88444878,81.46033732,6.136131869,194.5766559,0.0
81.0,41.0,38.0,22.67846116,83.72874389,7.5240800760000015,200.9133156,0.0
68.0,57.0,43.0,26.08867875,80.37979919,5.706943251,182.9043504,0.0
72.0,45.0,35.0,25.42977518,82.94682591,5.758506323,195.3574542,0.0
61.0,53.0,43.0,26.40323239,81.05635517,6.349606327,223.3671883,0.0
67.0,43.0,39.0,26.04371967,84.96907151,5.9999690260000005,186.7536773,0.0
66.0,60.0,38.0,22.08576562,83.47038318,6.372576327000001,231.7364957,0.0
82.0,43.0,38.0,23.28617173,81.43321641,5.105588355,242.3170629,0.0
84.0,50.0,44.0,25.48591986,81.40633547,5.9353444060000005,182.6549356,0.0
81.0,53.0,42.0,23.67575393,81.03569343,5.17782304,233.7034975,0.0
93.0,53.0,38.0,26.92995077,81.91411159,7.069172227,290.67937830000005,0.0
90.0,44.0,38.0,23.83509503,83.88387074,7.473134377,241.20135130000003,0.0
81.0,45.0,35.0,26.52872817,80.12267476,6.158376967000001,218.9163567,0.0
78.0,40.0,38.0,26.46428311,83.85642678,7.549873681,248.2256491,0.0
60.0,51.0,36.0,22.69657794,82.81088865,6.028321557999999,256.9964761,0.0
88.0,46.0,42.0,22.68319059,83.46358271,6.604993475,194.2651719,0.0
93.0,47.0,37.0,21.53346343,82.14004101,6.500343222000001,295.9248796,0.0
60.0,55.0,45.0,21.40865769,83.32931909999998,5.935745417000001,287.5766935000001,0.0
65.0,37.0,40.0,23.35905428,83.59512273,5.333322606,188.413665,0.0
61.0,44.0,17.0,26.10018422,71.57476937,6.931756557999999,102.2662445,1.0
80.0,43.0,16.0,23.55882094,71.59351368,6.657964753,66.71995467,1.0
73.0,58.0,21.0,19.97215954,57.68272924,6.596060648,60.65171481,1.0
61.0,38.0,20.0,18.47891261,62.69503871,5.970458434,65.43835393,1.0
68.0,41.0,16.0,21.77689322,57.80840636,6.158830619,102.0861694,1.0
93.0,41.0,17.0,25.6217169,66.50415474,6.047906679,105.4654703,1.0
70.0,44.0,19.0,23.31689124,73.4541537,5.852607099,94.29712821,1.0
90.0,49.0,21.0,24.84016732,68.3584573,6.4725232870000005,74.05474936,1.0
62.0,52.0,16.0,22.27526694,58.84015925,6.9670577620000005,63.87020584,1.0
92.0,44.0,16.0,18.87751445,65.76816093,6.082973754,94.76189431,1.0
66.0,54.0,21.0,25.19008683,60.200168700000006,5.919045532,72.12375573,1.0
70.0,47.0,17.0,24.612911800000006,70.4162444,6.600827017,104.1626147,1.0
77.0,57.0,21.0,24.9321581,73.80435276,6.550563822999999,79.74078719,1.0
99.0,50.0,15.0,18.14710054,71.09445342,5.573286437,88.07753741,1.0
74.0,56.0,22.0,18.28362235,66.65952796,6.829199275,80.97573281,1.0
83.0,45.0,21.0,18.83344471,58.75082029,5.716222912,79.75328959999999,1.0
94.0,39.0,18.0,23.89114571,57.48775781,5.893093135,102.8301942,1.0
78.0,48.0,22.0,23.08974909,63.10459626,5.588650585,70.43473609,1.0
87.0,54.0,20.0,25.61707368,63.4711755,6.576418207000001,108.8303762,1.0
87.0,35.0,25.0,21.44526922,63.1621551,6.178056304,65.88951188,1.0
63.0,43.0,19.0,18.51816776,55.53128131,6.641906353,90.988051,1.0
84.0,57.0,25.0,22.53510514,67.99257471,6.489040367,64.40866039,1.0
86.0,55.0,21.0,21.54156232,59.64024162,6.803931519,109.7515385,1.0
76.0,57.0,18.0,18.9802729,74.52600826,6.092725883,94.26249353,1.0
60.0,44.0,23.0,24.7947077,70.04556743,5.722579819,76.72860067,1.0
69.0,51.0,23.0,22.21738222,72.85462807,6.80163854,106.6213157,1.0
96.0,46.0,22.0,20.58314011,69.00128641,6.499936446,66.29390357,1.0
74.0,58.0,18.0,20.03728219,56.35606753,6.727303282,109.024141,1.0
63.0,43.0,17.0,19.28889933,65.47050802,6.807487794,71.3195307,1.0
99.0,36.0,20.0,20.57981887,65.34583901,6.671085817000001,78.34604471,1.0
77.0,36.0,23.0,24.71417533,56.73426469,6.648725327,88.45361858,1.0
94.0,54.0,17.0,23.39128187,61.74427165,5.871647806,107.3198135,1.0
95.0,38.0,22.0,19.84939404,61.24500053,5.730617109,100.7689246,1.0
77.0,58.0,19.0,22.8056033,56.50768935,5.791649933,101.5952794,1.0
66.0,44.0,20.0,19.0781471,69.02298571,6.740000687999999,80.72515943,1.0
63.0,35.0,16.0,22.02720976,65.35549924,6.272417541,83.73280082,1.0
72.0,60.0,25.0,18.52510753,69.0276233,5.773454729,88.10234397,1.0
67.0,51.0,24.0,23.50297882,61.32026065,5.584171461,64.77791424,1.0
75.0,53.0,18.0,20.68899915,59.4375337,6.864793607,103.651438,1.0
81.0,45.0,23.0,19.32666088,68.03449300000001,6.192360002999999,84.22969177,1.0
73.0,45.0,21.0,24.60532218,73.58868502,6.636803222999999,96.59195302,1.0
71.0,35.0,24.0,22.27373646,59.52193158,5.826426917,67.96704792,1.0
96.0,54.0,22.0,25.70196694,61.33450447,6.960358276,83.20711308,1.0
99.0,39.0,18.0,19.20129357,68.30578978,6.11275104,87.85092352,1.0
62.0,48.0,20.0,21.70181447,60.47470519,6.708446922,95.71388473,1.0
86.0,37.0,16.0,20.51716779,59.21235483,5.561510732,67.61013737,1.0
94.0,50.0,19.0,23.30355338,73.62548442,5.873242491,97.59081274,1.0
76.0,39.0,24.0,24.2547451,55.64709899,6.995843776,64.23845455,1.0
77.0,52.0,17.0,24.86374934,65.7420046,5.714799723,75.82270467,1.0
74.0,39.0,23.0,22.6265115,65.77472881,6.78073637,88.17251033,1.0
99.0,38.0,21.0,22.88330922,71.59722446,6.352471866,67.72777298,1.0
90.0,52.0,25.0,25.97482359,69.36385721,6.822586546,103.2234212,1.0
68.0,40.0,19.0,26.14384005,66.20569924,6.655426355,107.2361366,1.0
60.0,57.0,24.0,18.66116213,61.55327249,6.1212940410000005,75.03247667,1.0
88.0,38.0,15.0,25.08239719,65.92195844,6.455116637000001,62.49190812,1.0
65.0,60.0,22.0,25.36768364,72.52054555,6.6069840860000015,107.9124111,1.0
78.0,37.0,22.0,25.34217103,63.31801994,6.330554389,74.52082026,1.0
78.0,58.0,15.0,25.00933355,67.816568,6.5286312660000005,62.91359494,1.0
92.0,60.0,23.0,18.66746724,71.516474,5.721667141,69.93293255,1.0
79.0,59.0,17.0,20.37999665,63.73849998,6.644205485,108.5054416,1.0
76.0,51.0,18.0,26.16985907,71.96246617,6.247040422,79.84925393,1.0
87.0,48.0,25.0,18.65396672,61.37879671,6.656730007999999,93.62039175,1.0
90.0,57.0,24.0,18.92851916,72.80086137,6.158860284,82.34162918,1.0
67.0,35.0,22.0,23.30546753,63.24648023,6.385684213999999,108.7603001,1.0
60.0,54.0,19.0,18.74826712,62.49878458,6.417820493,70.23401597,1.0
83.0,58.0,23.0,19.74213321,59.66263104,6.381201909,65.50861389,1.0
83.0,57.0,19.0,25.73044432,70.74739256,6.877869005,98.73771338,1.0
23.0,72.0,84.0,19.02061277,17.13159126,6.920251378,79.92698081,2.0
22.0,72.0,85.0,18.86805647,15.65809214,6.391173589,88.51048983,2.0
36.0,67.0,77.0,18.36952567,19.56381041,7.152811172000001,79.26357665,2.0
32.0,73.0,81.0,20.45078582,15.40312102,5.988992796000002,92.68373702,2.0
58.0,70.0,84.0,20.6543203,16.60820843,6.231049027999999,74.6631118,2.0
59.0,70.0,84.0,17.3348681,18.74926979,7.550808267000001,82.61734721,2.0
42.0,62.0,75.0,18.17912258,18.90426935,7.010570541,81.84997529,2.0
28.0,74.0,81.0,18.01272266,18.30968112,8.753795334,81.98568791,2.0
58.0,66.0,79.0,20.99373558,19.33470387,8.718192847000001,93.55280105,2.0
43.0,66.0,79.0,19.46233971,15.22538951,7.976607593,74.58565097,2.0
58.0,63.0,81.0,19.81344531,14.69765308,6.515499548999999,78.96514709,2.0
23.0,62.0,85.0,18.97424756,19.5161216,8.490127142,80.7108745,2.0
27.0,62.0,77.0,18.19737048,14.71070537,6.576415562,70.18185181,2.0
28.0,72.0,84.0,18.72963144,19.18197264,6.481783042999999,71.58010169,2.0
39.0,71.0,84.0,20.28155898,16.39535215,8.140825437,82.52339655,2.0
25.0,78.0,76.0,17.48042641,15.7559405,7.228963452,66.96980581,2.0
25.0,68.0,77.0,20.09340593,15.11279612,7.701446446,85.74904898,2.0
60.0,68.0,83.0,19.12065218,18.43475844,6.620900869,85.52950164,2.0
59.0,62.0,83.0,18.57665902,19.22008229,8.104396057999999,72.94940441,2.0
22.0,67.0,78.0,17.16606398,14.42457525,6.204090835,72.32667516,2.0
36.0,65.0,80.0,18.2872007,16.67921616,6.051091339,74.87445574,2.0
59.0,60.0,84.0,19.03025305,18.66725565,7.690962337999999,94.70992037,2.0
28.0,76.0,82.0,20.56601874,14.25803981,6.654425315,83.75937135,2.0
32.0,60.0,83.0,19.69141713,19.44225438,8.829273328,91.76071648,2.0
22.0,78.0,76.0,17.84851658,19.09172907,8.621662982,76.32470713,2.0
28.0,58.0,81.0,17.47500984,16.54314829,6.18042747,93.35034262,2.0
46.0,76.0,77.0,18.2356751,19.68538502,6.967843048,83.74879344,2.0
54.0,61.0,77.0,18.81198127,15.21618225,6.206582192999999,77.54294240000002,2.0
38.0,60.0,76.0,18.65054116,17.80852431,8.868741443,77.92798682,2.0
59.0,55.0,79.0,20.36720401,16.89574311,8.766128654,82.2545577,2.0
36.0,76.0,75.0,18.38120357,16.63805158,8.736337905,70.52056697,2.0
35.0,66.0,81.0,19.37101121,15.77458129,6.138243973,85.24819851,2.0
35.0,64.0,78.0,17.92845928,14.27327988,7.496645259,85.37378769,2.0
52.0,60.0,79.0,19.45339934,18.23490739,8.380185271,75.6317566,2.0
57.0,60.0,84.0,19.1034283,17.26184541,6.586777189,75.49101167,2.0
52.0,68.0,78.0,17.48504075,16.96070581,6.89655198,86.05078037,2.0
43.0,79.0,79.0,19.40751744,18.98030507,7.8067476560000015,80.25064637,2.0
29.0,77.0,75.0,17.50361137,15.48083156,7.778591617999999,72.9446671,2.0
20.0,60.0,78.0,18.17234999,14.70085967,6.358740355,90.7760707,2.0
56.0,67.0,78.0,17.57445618,16.71826572,8.255450758,77.81891424,2.0
37.0,66.0,85.0,20.93175255,18.91295403,6.456148474,78.06910795,2.0
49.0,71.0,76.0,19.71098332,17.63879418,6.613072145,85.57925437,2.0
59.0,69.0,80.0,19.07937684,17.86754927,8.165359297,69.40619137,2.0
20.0,79.0,77.0,18.54988627,16.02542689,7.64867466,76.32565249,2.0
24.0,56.0,85.0,18.19903647,17.41333199,6.545888558,80.6405403,2.0
51.0,72.0,75.0,18.88852533,14.99451145,7.1042247970000005,80.11133840000002,2.0
22.0,64.0,82.0,19.48974337,17.17260319,6.4740245000000005,87.51312796,2.0
52.0,73.0,79.0,17.25769499,18.74943955,7.840339388999999,94.00287214,2.0
29.0,75.0,75.0,19.62416326,18.71483156,7.064790365,88.4585692,2.0
44.0,59.0,78.0,20.67526473,19.85388984,7.599033472,84.78344008,2.0
41.0,69.0,82.0,20.02381489,16.63294455,6.715587232000001,68.97806542,2.0
52.0,56.0,85.0,20.118744600000007,14.44228303,6.81712422,88.68168643,2.0
34.0,76.0,80.0,20.65691793,15.84572566,7.985417393,65.23811143,2.0
42.0,74.0,83.0,19.2582557,14.2804191,7.545258424,65.78042032,2.0
27.0,73.0,79.0,19.16288268,15.83500655,7.354973451,82.69766829,2.0
32.0,71.0,85.0,20.62767492,14.44008871,6.4039823160000005,92.06630306,2.0
31.0,76.0,82.0,20.8248451,17.85057083,7.599279991,79.20509212,2.0
47.0,80.0,77.0,17.18248372,16.42891834,7.561108006,72.85017344,2.0
54.0,62.0,80.0,17.48911699,16.39055394,7.489545074,79.45758333,2.0
35.0,57.0,83.0,19.48316794,17.44534641,7.476800943,80.4986291,2.0
53.0,73.0,77.0,19.71359733,18.09665739,7.325451279,73.64476535,2.0
45.0,61.0,78.0,19.48649305,16.06240074,6.489389282,81.52842690000001,2.0
37.0,78.0,79.0,19.95264829,14.82633099,7.786366322,88.6810311,2.0
30.0,75.0,81.0,19.41789736,16.80472243,6.4084378860000015,68.4951189,2.0
37.0,55.0,82.0,19.45591848,18.02235902,8.423873703,78.44910564,2.0
53.0,65.0,76.0,20.19137759,16.41998269,8.719960893,77.33795356,2.0
60.0,61.0,78.0,20.71219282,19.83643308,6.317153205,94.03659867,2.0
42.0,67.0,77.0,18.99424448,15.9362937,7.114405288,78.69707199,2.0
39.0,76.0,76.0,19.96837462,15.57324389,8.135900726000001,69.15759062,2.0
35.0,63.0,76.0,17.81564548,17.60756635,7.714153037999999,90.82097601,2.0
30.0,65.0,82.0,20.71424384,15.27824066,7.103798069,76.77888672,2.0
48.0,65.0,78.0,17.43732714,14.33847406,7.861128148,73.0926704,2.0
40.0,58.0,75.0,18.59190771,14.77959596,7.168096055,89.60982451,2.0
49.0,69.0,82.0,18.31561493,15.36143547,7.26311855,81.78710463,2.0
13.0,60.0,25.0,17.13692774,20.59541693,5.68597166,128.256862,3.0
31.0,55.0,22.0,22.91350245,21.33953114,5.873171894,109.225556,3.0
40.0,64.0,16.0,16.43340342,24.24045875,5.926676985,140.3717815,3.0
26.0,65.0,22.0,17.84806561,18.77621951,5.9499490810000015,143.09841709999995,3.0
26.0,80.0,18.0,19.32509638,23.3334788,5.581021521,104.7783947,3.0
17.0,59.0,17.0,18.416700100000003,23.42829938,5.689858133,132.9801054,3.0
27.0,59.0,22.0,21.81167649,23.20591245,5.794158503999999,130.0608093,3.0
28.0,58.0,24.0,19.72702528,18.28173015,5.748190462999999,143.7630894,3.0
28.0,80.0,17.0,19.62207826,18.67170854,5.809419584,144.1567454,3.0
12.0,78.0,23.0,16.06522754,18.72479695,5.99812453,88.06638775,3.0
22.0,79.0,17.0,21.42451099,20.39659714,5.912289889,116.5206923,3.0
19.0,78.0,16.0,20.65375833,23.10538637,5.967533236,67.71768947,3.0
19.0,65.0,25.0,18.09551014,18.29318436,5.6250964460000015,144.7902323,3.0
22.0,70.0,19.0,18.23775702,21.07643273,5.515615023,69.44951585,3.0
37.0,64.0,22.0,17.48189735,18.8251973,5.954665349,121.9401369,3.0
11.0,71.0,17.0,19.9191786,21.47324158,5.74644777,82.68554379,3.0
18.0,79.0,20.0,20.27514686,23.2353604,5.877347515,139.7521543,3.0
24.0,80.0,22.0,16.71170642,19.17651433,5.635993966,96.77285817,3.0
34.0,60.0,22.0,17.66148158,18.15302753,5.635231778,100.6711761,3.0
16.0,75.0,21.0,18.50692825,23.61670065,5.679224346,87.05132890000002,3.0
17.0,77.0,23.0,24.51324787,20.81527638,5.670062975,64.19497947,3.0
37.0,72.0,18.0,18.87614998,24.54038287,5.724242065,105.4120514,3.0
40.0,73.0,20.0,21.59343016,20.31871249,5.811314232000001,61.13872036,3.0
9.0,77.0,17.0,20.12373284,24.45202552,5.783425416,106.158201,3.0
1.0,62.0,23.0,15.43546065,18.37477907,5.607808432000001,139.0302034,3.0
33.0,59.0,22.0,22.64236876,21.59396123,5.946999529,122.3886015,3.0
23.0,59.0,19.0,21.98560799,24.87304788,5.852046999,129.5650601,3.0
6.0,62.0,22.0,20.53052663,18.09224048,5.824090984,120.4509288,3.0
25.0,63.0,20.0,15.78601387,21.14544088,5.502999119,95.17028129,3.0
7.0,79.0,23.0,19.6365349,19.68751084,5.821649914,96.65888933,3.0
8.0,72.0,17.0,20.57341244,19.7520218,5.711439256,87.87869161,3.0
27.0,64.0,15.0,20.16080524,24.84207559,5.514927264,138.2362122,3.0
28.0,66.0,23.0,21.53989176,24.25386207,5.99616119,120.6913038,3.0
32.0,57.0,18.0,15.53834801,23.75560241,5.695422862999999,107.3850593,3.0
17.0,77.0,24.0,20.76952209,18.93146941,5.568456899,109.0193712,3.0
34.0,60.0,23.0,20.12574053,24.96969858,5.659254981,100.0497183,3.0
9.0,80.0,19.0,21.80619564,18.57086554,5.945465949,125.0972687,3.0
3.0,67.0,24.0,17.00067625,19.90790546,5.520880013999999,103.2926407,3.0
35.0,69.0,23.0,16.78791503,24.96881755,5.578410206,75.45328039,3.0
3.0,77.0,25.0,24.84906168,22.89464642,5.608165195,62.21292186,3.0
31.0,79.0,25.0,23.18864385,22.3104551,5.902033406,63.38208822,3.0
34.0,59.0,18.0,23.38002569,21.98879437,5.744117663,87.66898664,3.0
12.0,63.0,17.0,18.358923,19.37703396,5.717143397,138.414764,3.0
27.0,56.0,20.0,19.25975367,20.51346956,5.542690119,94.9533526,3.0
24.0,67.0,22.0,20.120043,22.89845607,5.618844277000001,104.6252153,3.0
11.0,71.0,24.0,21.14011423,22.7182355,5.6066203460000015,141.6056722,3.0
34.0,66.0,17.0,18.81097271,21.27833035,5.889614577000001,125.084915,3.0
20.0,69.0,15.0,23.44260668,22.77255917,5.934136378,107.4137246,3.0
18.0,74.0,15.0,24.9035819,22.27512704,5.70836603,146.4727237,3.0
4.0,67.0,25.0,23.78709569,24.35679348,5.948164454,119.6404412,3.0
11.0,61.0,21.0,18.62328774,23.02410338,5.532100554,135.33780330000002,3.0
22.0,80.0,20.0,23.00884744,18.86880997,5.669560726,100.118612,3.0
12.0,61.0,19.0,19.33162606,24.13995025,5.655726817000001,68.51253427,3.0
5.0,74.0,21.0,16.24469193,21.35793891,5.591704013999999,66.97053257,3.0
31.0,75.0,18.0,15.46789263,21.43780702,5.824208308999999,88.88796102,3.0
5.0,65.0,16.0,21.32776028,18.48522915,5.866744372,109.1013261,3.0
32.0,79.0,15.0,23.90910104,20.74619325,5.706198621,81.60211243,3.0
0.0,55.0,22.0,22.98666928,20.57940608,5.916779289,143.85849380000005,3.0
14.0,59.0,15.0,21.35135729,22.91244883,5.779090476,146.4548645,3.0
32.0,68.0,19.0,24.62835037,18.18325169,5.514234138,149.7441028,3.0
17.0,64.0,17.0,21.02213209,24.93896255,5.662699104,124.6118471,3.0
14.0,67.0,22.0,23.82576704,24.75485098,5.624690247999999,84.64143632,3.0
9.0,69.0,20.0,19.30607278,23.96362799,5.591560999,129.3449326,3.0
20.0,73.0,22.0,16.03768615,22.33195853,5.976312537999999,130.3900798,3.0
40.0,78.0,20.0,19.18572809,20.83398341,5.669236258,80.15293435,3.0
27.0,72.0,23.0,19.92889503,21.79992115,5.961934481,64.02640797,3.0
14.0,67.0,15.0,19.56376468,24.67385131,5.690065688,139.2921004,3.0
22.0,60.0,24.0,18.78226261,20.24768314,5.630664753,104.2570723,3.0
3.0,72.0,24.0,36.51268371,57.92887167,6.03160778,122.6539694,4.0
40.0,59.0,23.0,36.89163721,62.73178224,5.269084669,163.7266551,4.0
33.0,73.0,23.0,29.23540524,59.38967583,5.985792703,103.3301803,4.0
27.0,57.0,24.0,27.33534897,43.35795962,6.09186275,142.33036769999995,4.0
10.0,79.0,18.0,21.0643684,55.46985938,5.624731337999999,184.6226709,4.0
30.0,75.0,25.0,30.33276599,42.35249879,6.446091759,149.299952,4.0
38.0,55.0,19.0,33.18184225,38.23184742,5.864623352000001,198.8298806,4.0
35.0,58.0,20.0,29.38538562,63.47742011,5.761702519,90.05422663,4.0
38.0,61.0,21.0,30.27374995,67.38680755,4.696518678,127.7767134,4.0
33.0,58.0,24.0,35.45790488,68.75810535,5.269504214,108.6333046,4.0
31.0,72.0,17.0,28.69180475,49.47225353,5.833031707999999,96.36222901,4.0
16.0,80.0,20.0,31.24021696,56.67369054,7.3393209289999986,122.0146733,4.0
27.0,72.0,17.0,28.98039357,57.23265151,6.347929353,120.7435664,4.0
18.0,58.0,16.0,21.47607807,38.80023714,4.962661422,180.382234,4.0
3.0,68.0,16.0,18.31910448,34.69776639,4.964887857,107.4721605,4.0
16.0,70.0,20.0,24.80467592,40.1242747,5.6093956,121.5639121,4.0
24.0,63.0,19.0,19.3479443,55.96805489,4.681576043,194.5921148,4.0
16.0,55.0,19.0,19.54314136,47.19188279,6.413543781,192.4372194,4.0
16.0,71.0,24.0,18.33124824,38.40975482,4.946369874,139.64833169999997,4.0
24.0,70.0,21.0,19.14729038,45.3733757,5.517208078,132.7748215,4.0
9.0,66.0,21.0,30.11812084,34.13307843,5.719889876,157.0858232,4.0
34.0,56.0,17.0,33.4126864,35.42910045,4.548202098,139.6702541,4.0
6.0,69.0,19.0,26.88630675,41.69617915,4.7509292180000005,94.46748008,4.0
26.0,73.0,21.0,31.33170829,57.97429171,4.946263888,161.7820226,4.0
27.0,61.0,18.0,33.30711818,67.07780816,5.266227032,108.5090168,4.0
27.0,71.0,23.0,23.45379018,46.48714759,7.10959773,150.87122019999995,4.0
26.0,72.0,22.0,28.76794904,37.57792132,4.674941549,91.72084869,4.0
17.0,64.0,16.0,30.97758716,32.24914235,7.161797643,180.716828,4.0
14.0,74.0,19.0,18.39759147,36.82639309,6.624966131,93.12330644,4.0
8.0,59.0,18.0,29.50523036,35.72032498,6.216814453,187.8961851,4.0
1.0,76.0,17.0,28.43430726,52.10010827,6.012719118,147.0414824,4.0
23.0,75.0,25.0,31.07508973,47.19847683,7.077170002000001,91.31256412,4.0
32.0,70.0,20.0,20.89342749,46.24856523,6.208843215,195.5697875,4.0
28.0,59.0,22.0,30.90607799,52.79913039,7.05181629,170.99198280000005,4.0
36.0,67.0,25.0,35.95176642,36.52780776,6.418062652000001,136.0456753,4.0
24.0,73.0,20.0,19.63736208,32.31528909,4.608695247,176.4134092,4.0
5.0,55.0,18.0,33.50876355,45.70976142,7.322097972000001,126.6738117,4.0
5.0,56.0,24.0,24.80710166,45.01110015,5.023115055,188.4928637,4.0
37.0,77.0,17.0,36.20970524,31.94550613,5.617122801,191.0658531,4.0
6.0,63.0,23.0,26.01630259,49.94704718,5.906596905,160.33374469999995,4.0
16.0,77.0,22.0,31.48469278,35.6395615,6.574209678,100.546816,4.0
25.0,64.0,20.0,33.15122581,32.45974539,4.807776748999999,105.03802749999998,4.0
34.0,75.0,24.0,23.50222822,51.29019509,4.760038038999999,192.3023991,4.0
20.0,77.0,23.0,34.87248659,38.83786012,5.180271502,148.25027859999997,4.0
35.0,80.0,25.0,28.09269012,44.93322042,4.895927306,197.1144011,4.0
14.0,75.0,24.0,24.54757829,57.3414485,6.436160044,118.3606557,4.0
29.0,78.0,25.0,19.95991719,59.33157782,5.982854522999999,195.787103,4.0
30.0,60.0,21.0,28.87667593,62.4901206,5.457871272999999,182.2688175,4.0
20.0,74.0,16.0,36.04353699,43.61444121,4.759490199,159.8938645,4.0
19.0,57.0,23.0,23.6734328,47.2879691,7.342409555,141.12507219999995,4.0
3.0,60.0,19.0,25.74679443,40.7192594,4.820788186000001,100.7791633,4.0
5.0,77.0,19.0,31.08564994,66.68832981,6.242052013,175.9303271,4.0
37.0,73.0,21.0,29.50304807,63.46513414,5.560224582999999,189.5208915,4.0
20.0,72.0,15.0,36.00415838,56.01334416,7.313517308,134.8596466,4.0
21.0,74.0,15.0,29.49096726,67.10604388,6.471862118,153.2504506,4.0
13.0,67.0,18.0,30.5753044,34.75591197,5.384762927000001,177.5764304,4.0
27.0,74.0,20.0,24.69487673,59.96669215,5.8598134160000015,91.95792434,4.0
29.0,72.0,24.0,23.17409556,36.67847052,6.962386495,162.5931264,4.0
5.0,68.0,20.0,19.04380471,33.10695144,6.12166671,155.3705624,4.0
39.0,57.0,19.0,29.32379604,45.93248374,6.421748487,165.4113371,4.0
22.0,62.0,16.0,34.6455408,54.32342534,4.828936119,180.9009998,4.0
39.0,77.0,21.0,22.99774444,60.24218572,4.603563116,159.689339,4.0
13.0,75.0,20.0,30.55992394,35.29006485,6.979540061,178.8998611,4.0
